"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\ColorPalette.cs", "C#", 11, 0, 0, 0, 1, 1, 13
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Enums.cs", "C#", 44, 0, 0, 0, 1, 5, 50
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\EventArgs.cs", "C#", 19, 0, 0, 0, 1, 4, 24
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Exceptions\EntityNotFoundException.cs", "C#", 23, 0, 0, 0, 0, 4, 27
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Exceptions\HRSystemException.cs", "C#", 23, 0, 0, 0, 0, 5, 28
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Exceptions\ValidationException.cs", "C#", 23, 0, 0, 0, 0, 5, 28
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Factory\EmployeeFactory.cs", "C#", 127, 0, 0, 0, 3, 10, 140
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Interfaces.cs", "C#", 16, 0, 0, 0, 0, 2, 18
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Models\Attendance.cs", "C#", 25, 0, 0, 0, 0, 9, 34
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Models\ContractEmployee.cs", "C#", 32, 0, 0, 0, 0, 6, 38
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Models\Department.cs", "C#", 100, 0, 0, 0, 1, 17, 118
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Models\Employee.cs", "C#", 100, 0, 0, 0, 3, 16, 119
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Models\FullTimeEmployee.cs", "C#", 40, 0, 0, 0, 3, 7, 50
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Models\LeaveRequest.cs", "C#", 128, 0, 0, 0, 1, 19, 148
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Models\Payroll.cs", "C#", 114, 0, 0, 0, 3, 16, 133
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Core\Models\Person.cs", "C#", 76, 0, 0, 0, 2, 12, 90
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Data\Attendances.json", "JSON", 0, 191, 0, 0, 0, 0, 191
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Data\Departments.json", "JSON", 0, 47, 0, 0, 0, 0, 47
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Data\Employees.json", "JSON", 0, 257, 0, 0, 0, 0, 257
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Data\LeaveRequests.json", "JSON", 0, 122, 0, 0, 0, 0, 122
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Data\Payrolls.json", "JSON", 0, 314, 0, 0, 0, 0, 314
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Attendance\AttendanceManagement.cs", "C#", 842, 0, 0, 0, 82, 114, 1038
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Attendance\EmployeeAttendanceViewer.cs", "C#", 595, 0, 0, 0, 52, 90, 737
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Dashboard\DashboardOverview.cs", "C#", 493, 0, 0, 0, 63, 83, 639
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Department\DepartmentEdit.cs", "C#", 238, 0, 0, 0, 22, 38, 298
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Department\DepartmentManagement.cs", "C#", 419, 0, 0, 0, 36, 54, 509
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\EmployeeViews\Employee_AttendanceManagement.cs", "C#", 736, 0, 0, 0, 46, 109, 891
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\EmployeeViews\Employee_DepartmentDetailsDialog.cs", "C#", 180, 0, 0, 0, 11, 23, 214
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\EmployeeViews\Employee_DepartmentView.cs", "C#", 309, 0, 0, 0, 35, 50, 394
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\EmployeeViews\Employee_PayrollView.cs", "C#", 535, 0, 0, 0, 72, 66, 673
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\EmployeeViews\Employee_ProfileView.cs", "C#", 478, 0, 0, 0, 52, 87, 617
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Employee\EditEmployeeForm.cs", "C#", 584, 0, 0, 0, 48, 83, 715
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Employee\EmployeeManagement.cs", "C#", 531, 0, 0, 0, 59, 80, 670
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Payroll\AddEdit\PayrollForm.Designer.cs", "C#", 250, 0, 0, 0, 74, 6, 330
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Payroll\AddEdit\PayrollForm.cs", "C#", 486, 0, 0, 0, 12, 78, 576
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Payroll\PayrollManagement.Designer.cs", "C#", 244, 0, 0, 0, 65, 5, 314
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Payroll\PayrollManagement.cs", "C#", 335, 0, 0, 0, 6, 52, 393
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Payroll\PayrollReport\PayrollReport.Designer.cs", "C#", 294, 0, 0, 0, 86, 6, 386
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Payroll\PayrollReport\PayrollReport.cs", "C#", 253, 0, 0, 0, 0, 65, 318
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Payroll\Search\PayrollSearch.Designer.cs", "C#", 163, 0, 0, 0, 44, 6, 213
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Forms\Payroll\Search\PayrollSearch.cs", "C#", 198, 0, 0, 0, 0, 39, 237
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\HRManagementSystem.csproj", "XML", 0, 0, 12, 0, 0, 3, 15
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\MainForm.Designer.cs", "C#", 130, 0, 0, 0, 15, 22, 167
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\MainForm.cs", "C#", 184, 0, 0, 0, 16, 32, 232
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Program.cs", "C#", 26, 0, 0, 0, 3, 1, 30
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Services\AttendanceService.cs", "C#", 245, 0, 0, 0, 26, 38, 309
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Services\DepartmentService.cs", "C#", 128, 0, 0, 0, 6, 24, 158
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Services\EnployeeService.cs", "C#", 127, 0, 0, 0, 9, 24, 160
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Services\LeaveService.cs", "C#", 285, 0, 0, 0, 13, 43, 341
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Services\PayrollService.cs", "C#", 203, 0, 0, 0, 5, 30, 238
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Services\RoleSelectionService.cs", "C#", 90, 0, 0, 0, 6, 15, 111
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Storage\FileManager.cs", "C#", 70, 0, 0, 0, 3, 10, 83
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\Storage\JSONFileStorage.cs", "C#", 126, 0, 0, 0, 11, 20, 157
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\bin\Debug\net8.0-windows\Data\Departments.json", "JSON", 0, 11, 0, 0, 0, 0, 11
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\bin\Debug\net8.0-windows\HRManagementSystem.deps.json", "JSON", 0, 59, 0, 0, 0, 0, 59
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\bin\Debug\net8.0-windows\HRManagementSystem.runtimeconfig.json", "JSON", 0, 19, 0, 0, 0, 0, 19
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\Debug\net8.0-windows\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\Debug\net8.0-windows\HRManagementSystem.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 9, 5, 25
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\Debug\net8.0-windows\HRManagementSystem.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 22, 0, 1, 23
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\Debug\net8.0-windows\HRManagementSystem.GlobalUsings.g.cs", "C#", 9, 0, 0, 0, 1, 1, 11
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\Debug\net8.0-windows\HRManagementSystem.designer.deps.json", "JSON", 0, 11, 0, 0, 0, 0, 11
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\Debug\net8.0-windows\HRManagementSystem.designer.runtimeconfig.json", "JSON", 0, 24, 0, 0, 0, 0, 24
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\Debug\net8.0-windows\HRManagementSystem.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\HRManagementSystem.csproj.nuget.dgspec.json", "JSON", 0, 83, 0, 0, 0, 0, 83
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\HRManagementSystem.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 16
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\HRManagementSystem.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 2
"c:\Users\tadyuh\Coding Projects\HRMS\HRManagementSystem\obj\project.assets.json", "JSON", 0, 166, 0, 0, 0, 0, 166
"Total", "-", 10701, 1305, 30, 22, 1008, 1542, 14608